stratum,year_month_pairs_with_stratum_data
0_0_missouri,199
8954_6037_california,199
0_0_alabama,199
0_0_alaska,199
0_0_arizona,199
0_0_arkansas,199
0_0_california,199
0_0_colorado,199
0_0_connecticut,199
84000_26099_michigan,199
0_0_florida,199
0_0_georgia,199
0_0_hawaii,199
0_0_idaho,199
0_0_illinois,199
0_0_indiana,199
0_0_iowa,199
0_0_kansas,199
54600_32003_nevada,199
54652_6111_california,199
58016_48085_texas,199
59000_44007_rhode island,199
6000_6001_california,199
62000_6065_california,199
63000_12103_florida,199
77000_6085_california,199
63000_53033_washington,199
64000_6067_california,199
65000_4013_arizona,199
65000_6071_california,199
66000_6073_california,199
67000_6075_california,199
68000_6085_california,199
0_0_kentucky,199
69000_6059_california,199
70000_53053_washington,199
7000_25025_massachusetts,199
73000_4013_arizona,199
73000_9001_connecticut,199
0_48479_texas,199
0_48215_texas,199
0_48251_texas,199
0_48309_texas,199
78582_6111_california,199
8000_9001_connecticut,199
82000_51810_virginia,199
0_12095_florida,199
0_12099_florida,199
0_12101_florida,199
0_12103_florida,199
0_12105_florida,199
0_12109_florida,199
0_21111_kentucky,199
0_17111_illinois,199
0_13135_georgia,199
0_13151_georgia,199
0_12113_florida,199
0_13057_georgia,199
0_13063_georgia,199
0_1097_alabama,199
0_0_wyoming,199
0_10001_delaware,199
0_10003_delaware,199
0_10005_delaware,199
0_1003_alabama,199
0_15003_hawaii,199
0_12086_florida,199
0_12005_florida,199
0_12009_florida,199
0_12011_florida,199
0_12019_florida,199
0_12021_florida,199
0_12033_florida,199
0_12053_florida,199
4000_13121_georgia,199
4000_48439_texas,199
43000_27053_minnesota,199
43000_6037_california,199
36000_20209_kansas,199
0_18141_indiana,199
0_19103_iowa,199
0_17119_illinois,199
0_17163_illinois,199
0_17179_illinois,199
38570_17197_illinois,199
40000_32003_nevada,199
0_20173_kansas,199
0_21067_kentucky,199
0_18063_indiana,199
0_18081_indiana,199
0_18089_indiana,199
0_21117_kentucky,199
0_22033_louisiana,199
0_19113_iowa,199
0_19163_iowa,199
0_24017_maryland,199
24000_12011_florida,199
26000_6001_california,199
0_26005_michigan,199
0_26021_michigan,199
0_26049_michigan,199
0_26075_michigan,199
0_26081_michigan,199
3000_51013_virginia,199
35000_48201_texas,199
20000_8031_colorado,199
2000_6059_california,199
22000_26163_michigan,199
36770_6059_california,199
37000_48113_texas,199
27000_48439_texas,199
28000_6059_california,199
30000_6037_california,199
0_51550_virginia,199
0_51760_virginia,199
0_51041_virginia,199
0_51087_virginia,199
0_51107_virginia,199
0_51153_virginia,199
0_42125_pennsylvania,199
0_42129_pennsylvania,199
0_42133_pennsylvania,199
0_45051_south carolina,199
0_42071_pennsylvania,199
0_42089_pennsylvania,199
0_42091_pennsylvania,199
0_42101_pennsylvania,199
0_48061_texas,199
0_48139_texas,199
0_45083_south carolina,199
0_45091_south carolina,199
0_47093_tennessee,199
0_47165_tennessee,199
0_55101_wisconsin,199
0_55105_wisconsin,199
0_55139_wisconsin,199
0_6001_california,199
0_6007_california,199
0_6017_california,199
0_6019_california,199
0_27003_minnesota,199
0_27123_minnesota,199
0_27163_minnesota,199
0_26099_michigan,199
0_26115_michigan,199
0_26121_michigan,199
0_34003_new jersey,199
0_34005_new jersey,199
0_29099_missouri,199
0_29189_missouri,199
0_30111_montana,199
0_26161_michigan,199
0_26163_michigan,199
0_24003_maryland,199
0_24013_maryland,199
0_32003_nevada,199
0_24025_maryland,199
0_24033_maryland,199
0_22103_louisiana,199
0_23011_maine,199
11000_36029_new york,199
12000_37119_north carolina,199
13024_0_texas,199
14000_17031_illinois,199
19000_0_texas,199
0_8069_colorado,199
0_8123_colorado,199
0_34007_new jersey,199
0_34011_new jersey,199
0_34013_new jersey,199
0_34017_new jersey,199
0_34019_new jersey,199
0_34021_new jersey,199
11000_25017_massachusetts,199
0_35013_new mexico,199
0_35045_new mexico,199
0_35049_new mexico,199
0_34027_new jersey,199
0_34035_new jersey,199
0_34037_new jersey,199
0_26125_michigan,199
0_26145_michigan,199
0_36055_new york,199
0_36059_new york,199
0_36067_new york,199
0_36069_new york,199
0_35001_new mexico,199
0_36103_new york,199
0_36119_new york,199
0_42017_pennsylvania,199
0_42019_pennsylvania,199
0_39089_ohio,199
0_37155_north carolina,199
0_37179_north carolina,199
0_39025_ohio,199
0_37057_north carolina,199
0_37067_north carolina,199
0_37119_north carolina,199
0_37133_north carolina,199
0_8059_colorado,199
0_6081_california,199
0_6083_california,199
0_6087_california,199
0_6095_california,199
0_6097_california,199
0_6099_california,199
0_6107_california,199
0_6111_california,199
0_6113_california,199
0_8013_colorado,199
0_6067_california,199
0_6073_california,199
0_6077_california,199
0_6079_california,199
0_6029_california,199
0_6037_california,199
0_6053_california,199
0_55073_wisconsin,199
0_39095_ohio,199
0_39103_ohio,199
0_39133_ohio,199
0_39153_ohio,199
0_6059_california,199
0_6061_california,199
0_41039_oregon,199
0_42003_pennsylvania,199
0_42007_pennsylvania,199
0_42011_pennsylvania,199
0_4013_arizona,199
0_4019_arizona,199
0_4021_arizona,199
0_4025_arizona,199
0_42021_pennsylvania,199
0_42029_pennsylvania,199
0_42043_pennsylvania,199
0_42045_pennsylvania,199
0_42049_pennsylvania,199
0_42055_pennsylvania,199
0_41017_oregon,199
0_41029_oregon,199
0_0_louisiana,199
0_0_maine,199
0_0_maryland,199
0_0_massachusetts,199
0_0_michigan,199
0_0_minnesota,199
0_0_mississippi,199
55000_22071_louisiana,199
0_0_montana,199
0_0_nebraska,199
0_0_nevada,199
0_0_new hampshire,199
0_0_new jersey,199
0_0_new mexico,199
0_0_new york,199
0_0_north carolina,199
0_0_north dakota,199
0_0_ohio,199
0_0_oklahoma,199
0_0_oregon,199
0_0_pennsylvania,199
0_0_rhode island,199
0_0_south carolina,199
0_0_south dakota,199
0_0_tennessee,199
0_0_texas,199
0_0_utah,199
0_0_vermont,199
0_0_virginia,199
0_0_washington,199
0_0_west virginia,199
0_0_wisconsin,199
46000_4013_arizona,199
0_12057_florida,199
0_12069_florida,199
0_12071_florida,199
0_12083_florida,199
51622_0_illinois,199
44000_6037_california,199
45000_12086_florida,199
53000_6001_california,199
53896_6071_california,199
51000_34013_new jersey,199
55000_4013_arizona,199
56000_51700_virginia,199
56000_6037_california,199
57000_51710_virginia,199
5210_53033_washington,199
53000_55079_wisconsin,199
53775_20091_kansas,198
37000_9003_connecticut,198
0_36071_new york,198
0_22051_louisiana,198
80000_6037_california,198
69084_6085_california,198
58072_6037_california,197
45384_48215_texas,197
16532_6059_california,196
33000_6001_california,196
53980_6059_california,195
53000_12095_florida,147
58000_27123_minnesota,147
51000_36005_new york,147
54000_12009_florida,147
51000_36061_new york,147
51000_36081_new york,147
51000_36085_new york,147
51000_36047_new york,147
0_9005_connecticut,147
0_9001_connecticut,147
0_39113_ohio,147
0_39109_ohio,147
0_12085_florida,147
50115_22051_louisiana,147
50000_11001_district of columbia,147
52006_47037_tennessee,147
0_37021_north carolina,147
0_34031_new jersey,147
0_34039_new jersey,147
0_39085_ohio,147
0_37147_north carolina,147
0_36087_new york,147
0_36091_new york,147
0_9009_connecticut,147
0_23005_maine,147
0_23019_maine,147
0_33013_new hampshire,147
0_33011_new hampshire,147
0_33017_new hampshire,147
0_31055_nebraska,147
0_27139_minnesota,147
0_33015_new hampshire,147
0_26093_michigan,147
0_54039_west virginia,147
0_47125_tennessee,147
0_34023_new jersey,147
0_24031_maryland,147
0_25001_massachusetts,147
0_23001_maine,147
0_9015_connecticut,147
38000_0_missouri,147
36003_18097_indiana,147
0_51177_virginia,147
0_49053_utah,147
0_47009_tennessee,147
0_25005_massachusetts,147
23182_6095_california,147
31900_32003_nevada,147
0_25015_massachusetts,147
0_25017_massachusetts,147
0_25023_massachusetts,147
0_25021_massachusetts,147
0_22005_louisiana,147
0_25009_massachusetts,147
0_25013_massachusetts,147
0_25027_massachusetts,147
0_20091_kansas,147
0_22073_louisiana,147
0_22063_louisiana,147
0_21015_kentucky,147
41000_5119_arkansas,147
0_18105_indiana,147
0_18019_indiana,147
4000_24510_maryland,147
0_13097_georgia,147
0_17097_illinois,147
36000_34017_new jersey,147
0_12111_florida,147
0_13117_georgia,147
71000_12057_florida,147
59000_41051_oregon,147
62938_6061_california,147
0_51179_virginia,146
0_25025_massachusetts,146
27820_4013_arizona,146
0_29071_missouri,146
0_13077_georgia,146
0_13045_georgia,146
0_13223_georgia,146
0_24015_maryland,146
0_27171_minnesota,146
0_47189_tennessee,146
0_39057_ohio,146
0_13015_georgia,146
43000_8059_colorado,145
0_48181_texas,144
0_48135_texas,144
0_55059_wisconsin,144
0_37191_north carolina,144
0_4027_arizona,144
0_48423_texas,144
0_42081_pennsylvania,144
0_48485_texas,144
0_48441_texas,144
0_45041_south carolina,144
0_53057_washington,144
0_42107_pennsylvania,144
0_42085_pennsylvania,144
0_26025_michigan,144
22640_53061_washington,144
0_18039_indiana,144
0_37159_north carolina,144
0_6089_california,144
0_13139_georgia,144
0_37001_north carolina,144
0_6031_california,144
0_1081_alabama,144
0_13113_georgia,143
0_48041_texas,143
81666_6095_california,142
11194_6073_california,142
23074_0_illinois,141
78120_6065_california,140
82590_6071_california,139
0_8101_colorado,70
0_36111_new york,70
0_6039_california,70
0_39023_ohio,70
0_53035_washington,70
0_29019_missouri,70
0_12015_florida,70
0_12061_florida,70
0_27137_minnesota,70
0_4003_arizona,70
0_24043_maryland,70
0_45007_south carolina,67
0_48141_texas,67
64000_51740_virginia,67
0_48303_texas,67
0_48381_texas,67
0_48439_texas,67
0_5119_arkansas,67
0_53033_washington,67
0_49049_utah,67
0_12001_florida,67
0_1073_alabama,67
0_1117_alabama,67
0_18095_indiana,67
0_18091_indiana,67
0_51059_virginia,67
0_53063_washington,67
0_36005_new york,67
0_26139_michigan,67
0_36085_new york,67
0_34041_new jersey,67
0_8035_colorado,67
0_34025_new jersey,67
0_34029_new jersey,67
0_37097_north carolina,67
0_19153_iowa,67
0_36027_new york,67
0_6071_california,67
0_38017_north dakota,67
0_37183_north carolina,67
1000_51510_virginia,67
0_39035_ohio,67
0_39045_ohio,67
0_39049_ohio,67
0_48029_texas,67
0_6065_california,67
0_41043_oregon,67
0_39165_ohio,67
0_48039_texas,67
0_45045_south carolina,67
0_45079_south carolina,67
0_45063_south carolina,67
0_11001_district of columbia,67
0_17091_illinois,67
0_34001_new jersey,67
0_31153_nebraska,67
0_27037_minnesota,67
0_18057_indiana,67
0_17113_illinois,67
0_20045_kansas,67
35000_51650_virginia,67
0_26147_michigan,67
0_12127_florida,67
0_13153_georgia,67
0_15001_hawaii,67
0_16055_idaho,67
0_12117_florida,67
0_22019_louisiana,67
0_24027_maryland,67
0_36047_new york,67
0_36081_new york,67
0_36061_new york,67
0_48183_texas,66
0_34009_new jersey,66
0_12097_florida,66
0_47187_tennessee,66
0_39041_ohio,65
0_48375_texas,64
49000_26163_michigan,62
0_48329_texas,58
0_53067_washington,58
0_53073_washington,58
0_6025_california,58
0_53077_washington,58
0_42013_pennsylvania,58
0_40031_oklahoma,58
0_6047_california,58
0_6055_california,58
0_1015_alabama,58
0_12091_florida,58
0_17115_illinois,58
0_17099_illinois,58
0_39029_ohio,58
0_39169_ohio,58
0_4015_arizona,58
0_55063_wisconsin,58
0_36013_new york,58
0_0_delaware,15
0_37019_north carolina,14
0_42075_pennsylvania,12
0_1107_alabama,12
0_22105_louisiana,12
0_26027_michigan,12
0_12119_florida,12
0_37141_north carolina,12
0_54019_west virginia,12
0_54081_west virginia,12
0_6115_california,12
0_1079_alabama,12
0_1103_alabama,12
0_1125_alabama,12
0_37129_north carolina,11
0_45085_south carolina,11
0_6101_california,11
0_8014_colorado,4
0_53015_washington,3
